,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
253,130.33999999999997,45911.0,297.924,Z1MZ297TIM3P1,3.0495,2.0,SW218968-1
254,194.175,972650.5,445.3142,Z1MZ445TIM4P1,4.6775,2.0,SW218968-1
255,126.15,12342.0,192.139,Z1MZ192TIM5P1,5.137,2.0,SW218968-1
256,111.09,168129.0,179.06525,Z1MZ179TIM4P1,4.726,2.0,SW218968-1
257,121.81,43607.5,179.1087,Z1MZ179TIM4P2,4.77,2.0,SW218968-1
258,110.63,32596.5,179.06475,Z1MZ179TIM4P3,4.2675,2.0,SW218968-1
259,118.155,70110.0,179.1081,Z1MZ179TIM4P4,4.4865,2.0,SW218968-1
260,135.685,13729.0,236.12805,Z1MZ236TIM1P1,1.2555,2.0,SW218968-1
261,141.94,6991.5,305.15565000000004,Z1MZ305TIM4P1,4.1465,2.0,SW218968-1
262,152.65,36836.0,302.1953,Z1MZ302TIM0P1,0.5305,2.0,SW218968-1
263,130.285,134015.0,302.9184,Z1MZ302TIM3P1,3.4779999999999998,2.0,SW218968-1
264,129.205,22628.5,302.91795,Z1MZ302TIM3P2,3.6175,2.0,SW218968-1
265,89.35499999999999,1401749.0,105.07155,Z1MZ105TIM3P1,3.7615,2.0,SW218968-1
266,194.95,1783353.0,471.13685,Z1MZ471TIM3P1,3.364,2.0,SW218968-1
267,148.07999999999998,77714.5,293.1092,Z1MZ293TIM4P1,4.1884999999999994,2.0,SW218968-1
268,148.055,87558.0,293.10915,Z1MZ293TIM4P2,4.695,2.0,SW218968-1
269,355.645,22207.0,456.779,Z2MZ456TIM3P1,3.3165,2.0,SW218968-1
270,168.42000000000002,359241.5,338.15855,Z1MZ338TIM4P1,4.3545,2.0,SW218968-1
271,199.18,109687.0,543.24125,Z1MZ543TIM3P1,3.3855000000000004,2.0,SW218968-1
272,159.76,34200.0,283.21795,Z1MZ283TIM3P1,3.0275,2.0,SW218968-1
273,96.955,246574.5,136.02285,Z1MZ136TIM5P1,5.861000000000001,2.0,SW218968-1
274,368.87,58800.5,384.47450000000003,Z2MZ384TIM5P1,5.018000000000001,2.0,SW218968-1
275,185.82999999999998,983727.0,457.4626,Z1MZ457TIM4P1,4.8185,2.0,SW218968-1
276,185.375,39854373.5,457.28345,Z1MZ457TIM4P2,4.8309999999999995,2.0,SW218968-1
277,186.21499999999997,42713.0,457.2779,Z1MZ457TIM4P3,4.5295000000000005,2.0,SW218968-1
278,129.815,130611.0,225.09235,Z1MZ225TIM4P1,4.896,2.0,SW218968-1
279,118.53,37270.0,217.01405,Z1MZ217TIM0P1,0.968,2.0,SW218968-1
280,179.475,80772.0,432.28035,Z1MZ432TIM1P1,1.8969999999999998,2.0,SW218968-1
281,161.70999999999998,163833.0,371.22755,Z1MZ371TIM1P1,1.8195000000000001,2.0,SW218968-1
282,161.54000000000002,52086.0,325.148,Z1MZ325TIM2P1,2.7750000000000004,2.0,SW218968-1
283,174.72,255151.0,339.2088,Z1MZ339TIM5P1,5.0794999999999995,2.0,SW218968-1
284,102.455,14473.5,166.99425000000002,Z1MZ166TIM0P1,0.9855,2.0,SW218968-1
285,121.75999999999999,302038.0,226.95565,Z1MZ226TIM6P1,6.385,2.0,SW218968-1
286,128.43,66757.5,266.0266,Z1MZ266TIM1P1,1.3775,2.0,SW218968-1
287,127.19,12954.0,266.8699,Z1MZ266TIM1P2,1.7315,2.0,SW218968-1
288,127.00999999999999,13749.0,266.8712,Z1MZ266TIM1P3,1.8704999999999998,2.0,SW218968-1
289,141.70499999999998,50825.5,274.1358,Z1MZ274TIM3P1,3.6265,2.0,SW218968-1
290,202.255,221197.0,413.3234,Z1MZ413TIM6P1,6.031,2.0,SW218968-1
291,203.825,514736.0,413.2668,Z1MZ413TIM6P2,6.376,2.0,SW218968-1
292,122.205,18149.5,189.12355,Z1MZ189TIM6P1,6.137,2.0,SW218968-1
293,108.0,89080.0,140.06925,Z1MZ140TIM4P1,4.7524999999999995,2.0,SW218968-1
294,107.39500000000001,84340.0,140.06955,Z1MZ140TIM4P2,4.887499999999999,2.0,SW218968-1
295,108.12,80757.5,140.0692,Z1MZ140TIM4P3,4.150499999999999,2.0,SW218968-1
296,108.22,27854.5,140.0688,Z1MZ140TIM4P4,4.595,2.0,SW218968-1
297,97.78999999999999,111813.5,149.0244,Z1MZ149TIM5P1,5.04,2.0,SW218968-1
298,99.775,324238.5,165.97935,Z1MZ165TIM3P1,3.0625,2.0,SW218968-1
299,107.465,75974.0,157.1009,Z1MZ157TIM4P1,4.8695,2.0,SW218968-1
300,225.835,266313.0,496.29625,Z1MZ496TIM6P1,6.0840000000000005,2.0,SW218968-1
301,196.32,143398.0,426.288,Z1MZ426TIM5P1,5.9665,2.0,SW218968-1
302,149.945,13521.0,257.16715,Z1MZ257TIM5P1,5.949,2.0,SW218968-1
303,97.545,299586.5,118.08735,Z1MZ118TIM4P1,4.7565,2.0,SW218968-1
304,134.64,17839.5,245.1344,Z1MZ245TIM5P1,5.215,2.0,SW218968-1
305,159.74,51741.5,319.15195,Z1MZ319TIM3P1,3.7175000000000002,2.0,SW218968-1
306,119.80000000000001,23566.5,184.889,Z1MZ184TIM6P1,6.3805,2.0,SW218968-1
307,116.775,105671.5,183.096,Z1MZ183TIM6P1,6.4685,2.0,SW218968-1
308,116.515,56236.0,183.09595000000002,Z1MZ183TIM6P2,6.621,2.0,SW218968-1
309,140.5,12193.0,209.20165,Z1MZ209TIM3P1,3.4825,2.0,SW218968-1
